word,frequency,lang_code
maioria,18469,pt
tiver,18467,pt
debaixo,18445,pt
pronta,18437,pt
parecer,18422,pt
velha,18408,pt
esquerda,18384,pt
avó,18369,pt
näo,18357,pt
confiar,18313,pt
destino,18297,pt
contente,18294,pt
pudesse,18271,pt
frio,18191,pt
vejam,18178,pt
lidar,18155,pt
regras,18140,pt
homicídio,18078,pt
precisava,18056,pt
james,18024,pt
aonde,17984,pt
gajo,17958,pt
vêm,17919,pt
aniversário,17918,pt
igreja,17884,pt
conheces,17874,pt
alex,17867,pt
funcionar,17865,pt
sul,17859,pt
compreendo,17824,pt
abre,17767,pt
vossos,17758,pt
carne,17744,pt
tenta,17738,pt
quantas,17735,pt
vender,17732,pt
sente-se,17722,pt
abaixo,17666,pt
desculpem,17627,pt
direita,17609,pt
liberdade,17601,pt
cavalo,17591,pt
droga,17589,pt
área,17547,pt
destes,17484,pt
parem,17479,pt
quais,17458,pt
triste,17383,pt
bomba,17374,pt
espécie,17352,pt
cérebro,17343,pt
venham,17324,pt
podíamos,17321,pt
tanta,17299,pt
vive,17294,pt
henry,17267,pt
estaria,17258,pt
belo,17227,pt
esquecer,17209,pt
contrário,17203,pt
cerveja,17190,pt
experiência,17179,pt
diferença,17155,pt
animais,17132,pt
humano,17110,pt
branco,17105,pt
honra,17080,pt
mandar,17078,pt
tentou,17077,pt
lembro-me,17074,pt
esperança,17063,pt
iorque,17052,pt
sente,17045,pt
falo,17021,pt
acaso,17006,pt
saúde,16943,pt
trata,16925,pt
estará,16900,pt
perigoso,16862,pt
entendido,16852,pt
inteligente,16850,pt
drogas,16849,pt
paul,16849,pt
pareces,16846,pt
conheci,16840,pt
ideias,16816,pt
público,16815,pt
irei,16797,pt
teste,16757,pt
acham,16747,pt
informações,16732,pt
ben,16723,pt
bola,16691,pt
acaba,16676,pt
aquelas,16642,pt
cliente,16564,pt
roubar,16541,pt
mar,16529,pt
dançar,16519,pt
suspeito,16501,pt
passei,16462,pt
senta-te,16451,pt
suposto,16413,pt
miss,16393,pt
risco,16382,pt
bater,16348,pt
entender,16340,pt
tiveste,16316,pt
nível,16285,pt
rainha,16280,pt
aceitar,16267,pt
clube,16263,pt
pobre,16261,pt
dizer-me,16247,pt
américa,16244,pt
mestre,16227,pt
conselho,16219,pt
perdeu,16186,pt
serão,16176,pt
apesar,16171,pt
parece-me,16166,pt
disse-te,16164,pt
computador,16150,pt
jimmy,16128,pt
alvo,16127,pt
aparecer,16125,pt
investigação,16091,pt
entrada,16022,pt
saiam,16010,pt
janela,15986,pt
dúvida,15954,pt
danny,15950,pt
preocupe,15925,pt
estiveste,15923,pt
nick,15920,pt
realidade,15918,pt
mary,15913,pt
poderá,15909,pt
código,15833,pt
zona,15823,pt
prontos,15822,pt
longo,15819,pt
totalmente,15810,pt
propósito,15799,pt
entrou,15793,pt
provar,15781,pt
avô,15780,pt
ligação,15772,pt
meia,15769,pt
dizer-te,15757,pt
basta,15751,pt
seguinte,15737,pt
menino,15714,pt
chama-se,15697,pt
esconder,15691,pt
criar,15636,pt
afinal,15628,pt
colocar,15626,pt
ias,15621,pt
calhar,15555,pt
dei,15550,pt
loucura,15550,pt
disse-lhe,15525,pt
termos,15521,pt
destas,15520,pt
sargento,15515,pt
vossas,15508,pt
foto,15493,pt
